time, event                        , event_type  , process, device, ready_queue                                          , wait_queue                            , cpus                , ios
   0, 1 added to ready queue       , enqueue     ,       1,       , ['1']                                                , []                                    , "[None, None, None]", [None]
   0, 2 added to ready queue       , enqueue     ,       2,       , "['1', '2']"                                         , []                                    , "[None, None, None]", [None]
   0, 3 added to ready queue       , enqueue     ,       3,       , "['1', '2', '3']"                                    , []                                    , "[None, None, None]", [None]
   0, 4 added to ready queue       , enqueue     ,       4,       , "['1', '2', '3', '4']"                               , []                                    , "[None, None, None]", [None]
   0, 5 added to ready queue       , enqueue     ,       5,       , "['1', '2', '3', '4', '5']"                          , []                                    , "[None, None, None]", [None]
   0, 6 added to ready queue       , enqueue     ,       6,       , "['1', '2', '3', '4', '5', '6']"                     , []                                    , "[None, None, None]", [None]
   0, 7 added to ready queue       , enqueue     ,       7,       , "['1', '2', '3', '4', '5', '6', '7']"                , []                                    , "[None, None, None]", [None]
   0, 8 added to ready queue       , enqueue     ,       8,       , "['1', '2', '3', '4', '5', '6', '7', '8']"           , []                                    , "[None, None, None]", [None]
   0, 9 added to ready queue       , enqueue     ,       9,       , "['1', '2', '3', '4', '5', '6', '7', '8', '9']"      , []                                    , "[None, None, None]", [None]
   0, 10 added to ready queue      , enqueue     ,      10,       , "['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']", []                                    , "[None, None, None]", [None]
   0, 1 dispatched to CPU0         , dispatch_cpu,       1, CPU0  , "['2', '3', '4', '5', '6', '7', '8', '9', '10']"     , []                                    , "['1', None, None]" , [None]
   0, 2 dispatched to CPU1         , dispatch_cpu,       2, CPU1  , "['3', '4', '5', '6', '7', '8', '9', '10']"          , []                                    , "['1', '2', None]"  , [None]
   0, 3 dispatched to CPU2         , dispatch_cpu,       3, CPU2  , "['4', '5', '6', '7', '8', '9', '10']"               , []                                    , "['1', '2', '3']"   , [None]
   3, 1 finished CPU → ready queue , cpu_to_ready,       1, CPU0  , "['4', '5', '6', '7', '8', '9', '10', '1']"          , []                                    , "[None, '2', '3']"  , [None]
   3, 2 finished CPU → wait queue  , cpu_to_io   ,       2, CPU1  , "['4', '5', '6', '7', '8', '9', '10', '1']"          , ['2']                                 , "[None, None, '3']" , [None]
   3, 3 finished CPU → wait queue  , cpu_to_io   ,       3, CPU2  , "['4', '5', '6', '7', '8', '9', '10', '1']"          , "['2', '3']"                          , "[None, None, None]", [None]
   3, 4 dispatched to CPU0         , dispatch_cpu,       4, CPU0  , "['5', '6', '7', '8', '9', '10', '1']"               , "['2', '3']"                          , "['4', None, None]" , [None]
   3, 5 dispatched to CPU1         , dispatch_cpu,       5, CPU1  , "['6', '7', '8', '9', '10', '1']"                    , "['2', '3']"                          , "['4', '5', None]"  , [None]
   3, 6 dispatched to CPU2         , dispatch_cpu,       6, CPU2  , "['7', '8', '9', '10', '1']"                         , "['2', '3']"                          , "['4', '5', '6']"   , [None]
   3, 2 dispatched to IO0          , dispatch_io ,       2, IO0   , "['7', '8', '9', '10', '1']"                         , ['3']                                 , "['4', '5', '6']"   , ['2']
   4, 4 finished CPU → ready queue , cpu_to_ready,       4, CPU0  , "['7', '8', '9', '10', '1', '4']"                    , ['3']                                 , "[None, '5', '6']"  , ['2']
   4, 7 dispatched to CPU0         , dispatch_cpu,       7, CPU0  , "['8', '9', '10', '1', '4']"                         , ['3']                                 , "['7', '5', '6']"   , ['2']
   7, 7 finished CPU → wait queue  , cpu_to_io   ,       7, CPU0  , "['8', '9', '10', '1', '4']"                         , "['3', '7']"                          , "[None, '5', '6']"  , ['2']
   7, 8 dispatched to CPU0         , dispatch_cpu,       8, CPU0  , "['9', '10', '1', '4']"                              , "['3', '7']"                          , "['8', '5', '6']"   , ['2']
   8, 6 finished CPU → wait queue  , cpu_to_io   ,       6, CPU2  , "['9', '10', '1', '4']"                              , "['3', '7', '6']"                     , "['8', '5', None]"  , ['2']
   8, 9 dispatched to CPU2         , dispatch_cpu,       9, CPU2  , "['10', '1', '4']"                                   , "['3', '7', '6']"                     , "['8', '5', '9']"   , ['2']
  10, 8 finished CPU → wait queue  , cpu_to_io   ,       8, CPU0  , "['10', '1', '4']"                                   , "['3', '7', '6', '8']"                , "[None, '5', '9']"  , ['2']
  10, 10 dispatched to CPU0        , dispatch_cpu,      10, CPU0  , "['1', '4']"                                         , "['3', '7', '6', '8']"                , "['10', '5', '9']"  , ['2']
  12, 10 finished CPU → ready queue, cpu_to_ready,      10, CPU0  , "['1', '4', '10']"                                   , "['3', '7', '6', '8']"                , "[None, '5', '9']"  , ['2']
  12, 5 finished CPU → wait queue  , cpu_to_io   ,       5, CPU1  , "['1', '4', '10']"                                   , "['3', '7', '6', '8', '5']"           , "[None, None, '9']" , ['2']
  12, 1 dispatched to CPU0         , dispatch_cpu,       1, CPU0  , "['4', '10']"                                        , "['3', '7', '6', '8', '5']"           , "['1', None, '9']"  , ['2']
  12, 4 dispatched to CPU1         , dispatch_cpu,       4, CPU1  , ['10']                                               , "['3', '7', '6', '8', '5']"           , "['1', '4', '9']"   , ['2']
  15, 1 finished CPU → ready queue , cpu_to_ready,       1, CPU0  , "['10', '1']"                                        , "['3', '7', '6', '8', '5']"           , "[None, '4', '9']"  , ['2']
  15, 4 finished CPU → ready queue , cpu_to_ready,       4, CPU1  , "['10', '1', '4']"                                   , "['3', '7', '6', '8', '5']"           , "[None, None, '9']" , ['2']
  15, 10 dispatched to CPU0        , dispatch_cpu,      10, CPU0  , "['1', '4']"                                         , "['3', '7', '6', '8', '5']"           , "['10', None, '9']" , ['2']
  15, 1 dispatched to CPU1         , dispatch_cpu,       1, CPU1  , ['4']                                                , "['3', '7', '6', '8', '5']"           , "['10', '1', '9']"  , ['2']
  19, 10 finished CPU → wait queue , cpu_to_io   ,      10, CPU0  , ['4']                                                , "['3', '7', '6', '8', '5', '10']"     , "[None, '1', '9']"  , ['2']
  19, 9 finished CPU → ready queue , cpu_to_ready,       9, CPU2  , "['4', '9']"                                         , "['3', '7', '6', '8', '5', '10']"     , "[None, '1', None]" , ['2']
  19, 4 dispatched to CPU0         , dispatch_cpu,       4, CPU0  , ['9']                                                , "['3', '7', '6', '8', '5', '10']"     , "['4', '1', None]"  , ['2']
  19, 9 dispatched to CPU2         , dispatch_cpu,       9, CPU2  , []                                                   , "['3', '7', '6', '8', '5', '10']"     , "['4', '1', '9']"   , ['2']
  22, 4 finished CPU → ready queue , cpu_to_ready,       4, CPU0  , ['4']                                                , "['3', '7', '6', '8', '5', '10']"     , "[None, '1', '9']"  , ['2']
  22, 1 finished CPU → ready queue , cpu_to_ready,       1, CPU1  , "['4', '1']"                                         , "['3', '7', '6', '8', '5', '10']"     , "[None, None, '9']" , ['2']
  22, 4 dispatched to CPU0         , dispatch_cpu,       4, CPU0  , ['1']                                                , "['3', '7', '6', '8', '5', '10']"     , "['4', None, '9']"  , ['2']
  22, 1 dispatched to CPU1         , dispatch_cpu,       1, CPU1  , []                                                   , "['3', '7', '6', '8', '5', '10']"     , "['4', '1', '9']"   , ['2']
  23, 9 finished CPU → wait queue  , cpu_to_io   ,       9, CPU2  , []                                                   , "['3', '7', '6', '8', '5', '10', '9']", "['4', '1', None]"  , ['2']
  25, 4 finished all bursts        , finished    ,       4, CPU0  , []                                                   , "['3', '7', '6', '8', '5', '10', '9']", "[None, '1', None]" , ['2']
  27, 1 finished CPU → ready queue , cpu_to_ready,       1, CPU1  , ['1']                                                , "['3', '7', '6', '8', '5', '10', '9']", "[None, None, None]", ['2']
  27, 1 dispatched to CPU0         , dispatch_cpu,       1, CPU0  , []                                                   , "['3', '7', '6', '8', '5', '10', '9']", "['1', None, None]" , ['2']
  28, 2 finished I/O → ready queue , io_to_ready ,       2, IO0   , ['2']                                                , "['3', '7', '6', '8', '5', '10', '9']", "['1', None, None]" , [None]
  28, 2 dispatched to CPU1         , dispatch_cpu,       2, CPU1  , []                                                   , "['3', '7', '6', '8', '5', '10', '9']", "['1', '2', None]"  , [None]
  28, 3 dispatched to IO0          , dispatch_io ,       3, IO0   , []                                                   , "['7', '6', '8', '5', '10', '9']"     , "['1', '2', None]"  , ['3']
  31, 1 finished CPU → ready queue , cpu_to_ready,       1, CPU0  , ['1']                                                , "['7', '6', '8', '5', '10', '9']"     , "[None, '2', None]" , ['3']
  31, 1 dispatched to CPU0         , dispatch_cpu,       1, CPU0  , []                                                   , "['7', '6', '8', '5', '10', '9']"     , "['1', '2', None]"  , ['3']
  36, 2 finished CPU → wait queue  , cpu_to_io   ,       2, CPU1  , []                                                   , "['7', '6', '8', '5', '10', '9', '2']", "['1', None, None]" , ['3']
  36, 3 finished I/O → ready queue , io_to_ready ,       3, IO0   , ['3']                                                , "['7', '6', '8', '5', '10', '9', '2']", "['1', None, None]" , [None]
  36, 3 dispatched to CPU1         , dispatch_cpu,       3, CPU1  , []                                                   , "['7', '6', '8', '5', '10', '9', '2']", "['1', '3', None]"  , [None]
  36, 7 dispatched to IO0          , dispatch_io ,       7, IO0   , []                                                   , "['6', '8', '5', '10', '9', '2']"     , "['1', '3', None]"  , ['7']
  38, 1 finished CPU → ready queue , cpu_to_ready,       1, CPU0  , ['1']                                                , "['6', '8', '5', '10', '9', '2']"     , "[None, '3', None]" , ['7']
  38, 3 finished CPU → ready queue , cpu_to_ready,       3, CPU1  , "['1', '3']"                                         , "['6', '8', '5', '10', '9', '2']"     , "[None, None, None]", ['7']
  38, 1 dispatched to CPU0         , dispatch_cpu,       1, CPU0  , ['3']                                                , "['6', '8', '5', '10', '9', '2']"     , "['1', None, None]" , ['7']
  38, 3 dispatched to CPU1         , dispatch_cpu,       3, CPU1  , []                                                   , "['6', '8', '5', '10', '9', '2']"     , "['1', '3', None]"  , ['7']
  40, 7 finished I/O → ready queue , io_to_ready ,       7, IO0   , ['7']                                                , "['6', '8', '5', '10', '9', '2']"     , "['1', '3', None]"  , [None]
  40, 7 dispatched to CPU2         , dispatch_cpu,       7, CPU2  , []                                                   , "['6', '8', '5', '10', '9', '2']"     , "['1', '3', '7']"   , [None]
  40, 6 dispatched to IO0          , dispatch_io ,       6, IO0   , []                                                   , "['8', '5', '10', '9', '2']"          , "['1', '3', '7']"   , ['6']
  41, 1 finished CPU → ready queue , cpu_to_ready,       1, CPU0  , ['1']                                                , "['8', '5', '10', '9', '2']"          , "[None, '3', '7']"  , ['6']
  41, 1 dispatched to CPU0         , dispatch_cpu,       1, CPU0  , []                                                   , "['8', '5', '10', '9', '2']"          , "['1', '3', '7']"   , ['6']
  42, 7 finished CPU → ready queue , cpu_to_ready,       7, CPU2  , ['7']                                                , "['8', '5', '10', '9', '2']"          , "['1', '3', None]"  , ['6']
  42, 7 dispatched to CPU2         , dispatch_cpu,       7, CPU2  , []                                                   , "['8', '5', '10', '9', '2']"          , "['1', '3', '7']"   , ['6']
  45, 3 finished CPU → wait queue  , cpu_to_io   ,       3, CPU1  , []                                                   , "['8', '5', '10', '9', '2', '3']"     , "['1', None, '7']"  , ['6']
  45, 7 finished CPU → wait queue  , cpu_to_io   ,       7, CPU2  , []                                                   , "['8', '5', '10', '9', '2', '3', '7']", "['1', None, None]" , ['6']
  48, 1 finished CPU → ready queue , cpu_to_ready,       1, CPU0  , ['1']                                                , "['8', '5', '10', '9', '2', '3', '7']", "[None, None, None]", ['6']
  48, 1 dispatched to CPU0         , dispatch_cpu,       1, CPU0  , []                                                   , "['8', '5', '10', '9', '2', '3', '7']", "['1', None, None]" , ['6']
  50, 1 finished all bursts        , finished    ,       1, CPU0  , []                                                   , "['8', '5', '10', '9', '2', '3', '7']", "[None, None, None]", ['6']
  57, 6 finished I/O → ready queue , io_to_ready ,       6, IO0   , ['6']                                                , "['8', '5', '10', '9', '2', '3', '7']", "[None, None, None]", [None]
  57, 6 dispatched to CPU0         , dispatch_cpu,       6, CPU0  , []                                                   , "['8', '5', '10', '9', '2', '3', '7']", "['6', None, None]" , [None]
  57, 8 dispatched to IO0          , dispatch_io ,       8, IO0   , []                                                   , "['5', '10', '9', '2', '3', '7']"     , "['6', None, None]" , ['8']
  62, 6 finished CPU → ready queue , cpu_to_ready,       6, CPU0  , ['6']                                                , "['5', '10', '9', '2', '3', '7']"     , "[None, None, None]", ['8']
  62, 6 dispatched to CPU0         , dispatch_cpu,       6, CPU0  , []                                                   , "['5', '10', '9', '2', '3', '7']"     , "['6', None, None]" , ['8']
  69, 6 finished CPU → ready queue , cpu_to_ready,       6, CPU0  , ['6']                                                , "['5', '10', '9', '2', '3', '7']"     , "[None, None, None]", ['8']
  69, 6 dispatched to CPU0         , dispatch_cpu,       6, CPU0  , []                                                   , "['5', '10', '9', '2', '3', '7']"     , "['6', None, None]" , ['8']
  71, 8 finished I/O → ready queue , io_to_ready ,       8, IO0   , ['8']                                                , "['5', '10', '9', '2', '3', '7']"     , "['6', None, None]" , [None]
  71, 8 dispatched to CPU1         , dispatch_cpu,       8, CPU1  , []                                                   , "['5', '10', '9', '2', '3', '7']"     , "['6', '8', None]"  , [None]
  71, 5 dispatched to IO0          , dispatch_io ,       5, IO0   , []                                                   , "['10', '9', '2', '3', '7']"          , "['6', '8', None]"  , ['5']
  75, 6 finished CPU → ready queue , cpu_to_ready,       6, CPU0  , ['6']                                                , "['10', '9', '2', '3', '7']"          , "[None, '8', None]" , ['5']
  75, 6 dispatched to CPU0         , dispatch_cpu,       6, CPU0  , []                                                   , "['10', '9', '2', '3', '7']"          , "['6', '8', None]"  , ['5']
  77, 8 finished CPU → ready queue , cpu_to_ready,       8, CPU1  , ['8']                                                , "['10', '9', '2', '3', '7']"          , "['6', None, None]" , ['5']
  77, 8 dispatched to CPU1         , dispatch_cpu,       8, CPU1  , []                                                   , "['10', '9', '2', '3', '7']"          , "['6', '8', None]"  , ['5']
  78, 6 finished CPU → wait queue  , cpu_to_io   ,       6, CPU0  , []                                                   , "['10', '9', '2', '3', '7', '6']"     , "[None, '8', None]" , ['5']
  82, 8 finished CPU → wait queue  , cpu_to_io   ,       8, CPU1  , []                                                   , "['10', '9', '2', '3', '7', '6', '8']", "[None, None, None]", ['5']
  85, 5 finished I/O → ready queue , io_to_ready ,       5, IO0   , ['5']                                                , "['10', '9', '2', '3', '7', '6', '8']", "[None, None, None]", [None]
  85, 5 dispatched to CPU0         , dispatch_cpu,       5, CPU0  , []                                                   , "['10', '9', '2', '3', '7', '6', '8']", "['5', None, None]" , [None]
  85, 10 dispatched to IO0         , dispatch_io ,      10, IO0   , []                                                   , "['9', '2', '3', '7', '6', '8']"      , "['5', None, None]" , ['10']
  93, 10 finished I/O → ready queue, io_to_ready ,      10, IO0   , ['10']                                               , "['9', '2', '3', '7', '6', '8']"      , "['5', None, None]" , [None]
  93, 10 dispatched to CPU1        , dispatch_cpu,      10, CPU1  , []                                                   , "['9', '2', '3', '7', '6', '8']"      , "['5', '10', None]" , [None]
  93, 9 dispatched to IO0          , dispatch_io ,       9, IO0   , []                                                   , "['2', '3', '7', '6', '8']"           , "['5', '10', None]" , ['9']
  94, 5 finished CPU → wait queue  , cpu_to_io   ,       5, CPU0  , []                                                   , "['2', '3', '7', '6', '8', '5']"      , "[None, '10', None]", ['9']
  98, 10 finished CPU → ready queue, cpu_to_ready,      10, CPU1  , ['10']                                               , "['2', '3', '7', '6', '8', '5']"      , "[None, None, None]", ['9']
  98, 10 dispatched to CPU0        , dispatch_cpu,      10, CPU0  , []                                                   , "['2', '3', '7', '6', '8', '5']"      , "['10', None, None]", ['9']
