time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
0,1 added to ready queue,enqueue,1,,['1'],[],[None],[None]
0,2 added to ready queue,enqueue,2,,"['1', '2']",[],[None],[None]
0,3 added to ready queue,enqueue,3,,"['1', '2', '3']",[],[None],[None]
0,4 added to ready queue,enqueue,4,,"['1', '2', '3', '4']",[],[None],[None]
0,5 added to ready queue,enqueue,5,,"['1', '2', '3', '4', '5']",[],[None],[None]
0,6 added to ready queue,enqueue,6,,"['1', '2', '3', '4', '5', '6']",[],[None],[None]
0,7 added to ready queue,enqueue,7,,"['1', '2', '3', '4', '5', '6', '7']",[],[None],[None]
0,8 added to ready queue,enqueue,8,,"['1', '2', '3', '4', '5', '6', '7', '8']",[],[None],[None]
0,9 added to ready queue,enqueue,9,,"['1', '2', '3', '4', '5', '6', '7', '8', '9']",[],[None],[None]
0,10 added to ready queue,enqueue,10,,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",[],[None],[None]
0,1 dispatched to CPU0,dispatch_cpu,1,CPU0,"['2', '3', '4', '5', '6', '7', '8', '9', '10']",[],['1'],[None]
3,1 finished CPU → ready queue,cpu_to_ready,1,CPU0,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '1']",[],[None],[None]
3,2 dispatched to CPU0,dispatch_cpu,2,CPU0,"['3', '4', '5', '6', '7', '8', '9', '10', '1']",[],['2'],[None]
6,2 finished CPU → wait queue,cpu_to_io,2,CPU0,"['3', '4', '5', '6', '7', '8', '9', '10', '1']",['2'],[None],[None]
6,3 dispatched to CPU0,dispatch_cpu,3,CPU0,"['4', '5', '6', '7', '8', '9', '10', '1']",['2'],['3'],[None]
6,2 dispatched to IO0,dispatch_io,2,IO0,"['4', '5', '6', '7', '8', '9', '10', '1']",[],['3'],['2']
9,3 finished CPU → wait queue,cpu_to_io,3,CPU0,"['4', '5', '6', '7', '8', '9', '10', '1']",['3'],[None],['2']
9,4 dispatched to CPU0,dispatch_cpu,4,CPU0,"['5', '6', '7', '8', '9', '10', '1']",['3'],['4'],['2']
10,4 finished CPU → ready queue,cpu_to_ready,4,CPU0,"['5', '6', '7', '8', '9', '10', '1', '4']",['3'],[None],['2']
10,5 dispatched to CPU0,dispatch_cpu,5,CPU0,"['6', '7', '8', '9', '10', '1', '4']",['3'],['5'],['2']
19,5 finished CPU → wait queue,cpu_to_io,5,CPU0,"['6', '7', '8', '9', '10', '1', '4']","['3', '5']",[None],['2']
19,6 dispatched to CPU0,dispatch_cpu,6,CPU0,"['7', '8', '9', '10', '1', '4']","['3', '5']",['6'],['2']
24,6 finished CPU → wait queue,cpu_to_io,6,CPU0,"['7', '8', '9', '10', '1', '4']","['3', '5', '6']",[None],['2']
24,7 dispatched to CPU0,dispatch_cpu,7,CPU0,"['8', '9', '10', '1', '4']","['3', '5', '6']",['7'],['2']
